id,timestamp,url,HEAD,SITE,DATA,CITY,CITY_URL,COUNTRY,COUNTRY_URL,Items_exhibited,For_Visitors,Organizer,Message_from_organizer,Industry,Frequency,last_fair_information,Official_website,last_update,CONTINENT,CONTINENT_URL,Venue ,Venue_URL
1,2026-01-14T15:13:09.694Z,https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/158281,Metal Forming Expo 2026,https://metalformingexpo.com/,"April 9, 2026 - April 11, 2026",India,/en/database/j-messe/country/asia/in/,Asia,/en/database/j-messe/country/asia/,"Metal Forming, Flexible Sheet Metal Working, Finished Products, Components & Assemblies, Joining, Welding & Fastening, Automation & Robotics, Handling, CAD & CAM Systems & Data Processing, Machine Elements, Controlling, Regulating, Measuring & Testing, Factory & Warehouse Equipment, Research & Development, Sheet Metal & Plastic Hybrid Structure Processing, Quality Assurance, Safety at Work, Separation & Cutting, Sheet Metal, Tube & Sections, Sheet Metal Surface Treatment, Tools & Dies, Environment Protection & Recycling","<td> Eligibility : Trade only <br>Method of admission : Apply/register online <br>For details, please contact the organizer directly. </td>","<td> Future Market Events <br>Tel : +91-9699939122 <br>E-mail : <a href=""mailto:pawan@futuremarketevents.com"">pawan@futuremarketevents.com</a> </td>",Held with a concurrent exhibition.,"<td> <div class=""elem_text_list""> <ul> <li> <a href=""/en/database/j-messe/industry/macchinery/001/""> Machinery, Industrial Technology ／Metals,Metal Products, Hardware, Tools </a> </li> <li> <a href=""/en/database/j-messe/industry/macchinery/002/""> Machinery, Industrial Technology ／Machine Tools, Metalworking </a> </li> <li> <a href=""/en/database/j-messe/industry/macchinery/004/""> Machinery, Industrial Technology ／Material Handling, Pneumatics </a> </li> </ul> </div> </td>",Annual,"<td> 2025 year<br> Total number of visitors : 9173 <br> Total number of exhibitors : 175 <br> Expected floor size : 10,000 sq.m.<br> The past records may include concurrent/joint exhibits. </td>",https://metalformingexpo.com/,"October 28, 2025",,,,
1,2026-01-14T15:13:09.694Z,https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/158281,,,"October 28, 2025",,,,,,,<td> Held with a concurrent exhibition. </td>,,,,,,,,,,
22,2026-01-14T15:13:15.644Z,https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/159065,BEW 2026 - Beijing Essen Welding & Cutting Fair,http://www.beijing-essen-welding.com/,"June 29, 2026 - July 2, 2026",Shenzhen,/en/database/j-messe/country/asia/cn/011/,China,/en/database/j-messe/country/asia/cn/,"Arc Welding, Resistance Welding, High Grade Energy Welding, Plastic Welding, Adhesive Bonding, Welding Accessories & Materials, Automatic Welding Machines, Cutting Equipment, Thermal Cutting Equipment & Accessories, Spraying, Inspection & Testing, Tools, Protection & Safety, Software","<td> Eligibility : Trade only <br>Method of admission : Apply/register online <br>For details, please contact the organizer directly. </td>","<td> Chinese Mechanical Engineering Society (CMES) <br>Address : 11th Floor, Building 4, Zhuyu International Business Center, 9 Shouti South Road, Haidian District, Beijing 100048, China <br>Tel : +86-10-63983928 <br>E-mail : <a href=""mailto:xiangx@cmes.org"">xiangx@cmes.org</a> </td>",,"<td> <div class=""elem_text_list""> <ul> <li> <a href=""/en/database/j-messe/industry/macchinery/002/""> Machinery, Industrial Technology ／Machine Tools, Metalworking </a> </li> <li> <a href=""/en/database/j-messe/industry/macchinery/008/""> Machinery, Industrial Technology ／Manufacturing Technology &amp; Engineering </a> </li> <li> <a href=""/en/database/j-messe/industry/ict/001/""> Information, Telecommunication ／Telecommunication, Data Processing, Computer </a> </li> <li> <a href=""/en/database/j-messe/industry/macchinery/005/""> Machinery, Industrial Technology ／Testing, Measuring &amp; Analyzing, Precision Mechanics </a> </li> <li> <a href=""/en/database/j-messe/industry/services/009/""> Services／Occupational Safety and Health, Labor Management </a> </li> <li> <a href=""/en/database/j-messe/industry/macchinery/001/""> Machinery, Industrial Technology ／Metals,Metal Products, Hardware, Tools </a> </li> </ul> </div> </td>",Annual,"<td> 2023 year<br> Total number of visitors : 50801 （including ： 979 foreign visitors） <br> Total number of exhibitors : 581 （including ： 31 foreign exhibitors） <br> Expected floor size : 24,507 sq.m.<br> The past records may include concurrent/joint exhibits. </td>",http://www.beijing-essen-welding.com/,"December 18, 2025",Asia,/en/database/j-messe/country/asia/,,
22,2026-01-14T15:13:15.644Z,https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/159065,,,"December 18, 2025",,,,,,,,,,,,,,,,,
43,2026-01-14T15:13:21.830Z,https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/158291,IDAX 2026 - International Dermatology & Aesthetic Expo & Conference,https://idaxexpo.com/home-en/,"April 9, 2026 - April 11, 2026",Hanoi,/en/database/j-messe/country/asia/vn/001/,Vietnam,/en/database/j-messe/country/asia/vn/,"Fillers & Injectables, Skincare, Surgical Equipment, Medical Implants, Hair Treatment Equipment, Laboratory Services, Laser & Laser Supplies, Pharmaceuticals & Dermaceuticals, Practice Management, Software & IT Equipment","<td> Eligibility : Trade only <br>Method of admission : Free / Apply/register online / Registration/tickets available at event <br>For details, please contact the organizer directly. </td>","<td> Hey Day Sdn Bhd <br>Tel : +60-3-7490-2128 <br>E-mail : <a href=""mailto:jane@idaxexpo.com"">jane@idaxexpo.com</a> <br>Inquiry Form : <a class=""link_blank"" target=""_blank"" href=""https://idaxexpo.com/contact-us/"">https://idaxexpo.com/contact-us/</a> </td>",,"<td> <div class=""elem_text_list""> <ul> <li> <a href=""/en/database/j-messe/industry/medical/001/""> Medical Care, Health ／Medical &amp; Hospital Equipment,, Supplies </a> </li> <li> <a href=""/en/database/j-messe/industry/medical/004/""> Medical Care, Health ／Pharmaceuticals, Pharmacy </a> </li> <li> <a href=""/en/database/j-messe/industry/living/010/""> Living／Cosmetics, Beauty Care Products, Perfumery </a> </li> </ul> </div> </td>",Annual,,https://idaxexpo.com/home-en/,"October 28, 2025",Asia,/en/database/j-messe/country/asia/,,
43,2026-01-14T15:13:21.830Z,https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/158291,,,"October 28, 2025",,,,,,,,,,,,,,,,,
64,2026-01-14T15:13:28.167Z,https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/158290,analytica Vietnam 2027,https://analyticavietnam.com/en/trade-fair/,"March 31, 2027 - April 2, 2027",Ho-Chi-Minh City,/en/database/j-messe/country/asia/vn/002/,Vietnam,/en/database/j-messe/country/asia/vn/,"Analysis, Biotechnology, Laboratory Equipment, Quality Control, Measuring and Testing","<td> Eligibility : Trade only <br>Method of admission : Apply/register online / Registration/tickets available at event <br>For details, please contact the organizer directly. </td>","<td> Messe Muenchen International (MMI) Asia <br>Tel : +65-9699-5393 <br>E-mail : <a href=""mailto:analyticavietnam@mmiasia.com.sg"">analyticavietnam@mmiasia.com.sg</a> </td>",,"<td> <div class=""elem_text_list""> <ul> <li> <a href=""/en/database/j-messe/industry/fundamental/004/""> Fundamental Industries／Chemistry, Rubber, Plastics, Materials </a> </li> <li> <a href=""/en/database/j-messe/industry/macchinery/005/""> Machinery, Industrial Technology ／Testing, Measuring &amp; Analyzing, Precision Mechanics </a> </li> <li> <a href=""/en/database/j-messe/industry/medical/004/""> Medical Care, Health ／Pharmaceuticals, Pharmacy </a> </li> <li> <a href=""/en/database/j-messe/industry/innovation/001/""> Innovation,Startups／Innovation,Startups </a> </li> </ul> </div> </td>",Once in 2 years,"<td> 2025 year<br> Total number of visitors : 5908 <br> Total number of exhibitors : 300 <br> Expected floor size : 7,000 sq.m.<br> Data Certified : ufi, FKM<br> The past records may include concurrent/joint exhibits. </td>",https://analyticavietnam.com/en/trade-fair/,"October 28, 2025",Asia,/en/database/j-messe/country/asia/,Saigon Exhibition and Convention Center (SECC),/en/database/j-messe/center/vietnam.html
64,2026-01-14T15:13:28.167Z,https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/158290,,,"October 28, 2025",,,,,,,,,,,,,,,,,
85,2026-01-14T15:13:34.011Z,https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/143298,HIGHTEX 2026 - International Technical Textiles & Nonwoven Exhibition,https://www.hightex.com.tr/,"June 9, 2026 - June 13, 2026",Istanbul,/en/database/j-messe/country/middle_east/tr/003/,Turkey,/en/database/j-messe/country/middle_east/tr/,"Agricultural Textiles, Building Textiles, Apparel Textiles, Geo Textiles, Home Textiles, Industrial Textiles, Food Textiles, Cosmetics Textiles, Medical Textiles, Transport Textiles, Ecological Textiles, Packaging Textiles, Protection Textiles, Sports Textiles","<td> Eligibility : Trade only <br>For details, please contact the organizer directly. </td>","<td> TEKNIK FUARCILIK INC. <br>Tel : +90-212-876-7506 <br>E-mail : <a href=""mailto:info@hightex.com.tr"">info@hightex.com.tr</a> </td>","At HIGHTEX Exhibition, which has been organized since 2005, becoming one of the most important markets of today, the latest technological innovations of the technical textiles and nonwovens industry are on display. HIGHTEX Exhibition is the most important meeting point of the technical textiles and nonwovens sectors of the Middle East and Eastern Europe together with industry professionals, exhibitors, press members and visitors. Held with a concurrent exhibition.","<td> <div class=""elem_text_list""> <ul> <li> <a href=""/en/database/j-messe/industry/living/003/""> Living／Textiles &amp; Apparel (Materials, Products &amp; Machinery) </a> </li> </ul> </div> </td>",Once in 2 years,<td> 2022 year<br> Total number of visitors : 64500 <br> Total number of exhibitors : 1280 <br> The past records may include concurrent/joint exhibits. </td>,https://www.hightex.com.tr/,"December 12, 2024",Middle East,/en/database/j-messe/country/middle_east/,,
85,2026-01-14T15:13:34.011Z,https://www.jetro.go.jp/en/database/j-messe/tradefair/detail/143298,,,"December 12, 2024",,,,,,,"<td> At HIGHTEX Exhibition, which has been organized since 2005, becoming one of the most important markets of today, the latest technological innovations of the technical textiles and nonwovens industry are on display. HIGHTEX Exhibition is the most important meeting point of the technical textiles and nonwovens sectors of the Middle East and Eastern Europe together with industry professionals, exhibitors, press members and visitors. <br> Held with a concurrent exhibition. </td>",,,,,,,,,,
